id,idioma,label
45,es,0
87,es,0
128,pt,unknown
46,es,0
5,es,0
88,es,0
129,es,0
47,es,0
6,es,0
89,es,0
130,es,0
48,es,0
90,es,0
7,es,0
131,es,0
49,es,0
91,es,1
50,es,0
8,es,0
132,es,0
56,es,0
51,es,0
138,es,0
9,es,0
92,es,1
98,es,0
57,ro,unknown
133,es,0
14,es,0
52,es,0
139,es,0
99,ca,unknown
10,es,0
58,es,0
134,es,0
93,es,1
15,es,0
53,es,0
140,es,0
59,pt,unknown
94,es,0
11,es,1
135,es,0
16,en,0
54,es,0
100,es,0
95,es,0
141,es,0
60,it,unknown
12,es,0
136,es,0
17,en,0
96,es,0
101,es,0
55,es,0
142,es,0
13,es,0
137,es,0
61,es,0
97,es,0
18,en,0
86,es,0
102,es,0
143,es,0
107,es,0
62,es,0
67,es,0
19,es,0
24,en,1
144,es,0
149,es,0
108,es,0
103,es,0
68,ro,unknown
63,so,unknown
20,ca,unknown
145,es,0
25,en,0
150,es,0
104,es,0
64,ca,unknown
109,es,0
21,en,0
69,es,0
26,en,0
105,es,0
151,es,0
146,es,0
110,es,0
65,es,0
70,es,0
27,es,0
22,en,0
152,es,0
111,es,0
147,es,0
71,es,0
106,es,0
28,en,0
153,es,0
23,en,0
112,es,0
66,es,0
72,es,0
29,en,0
148,es,0
154,es,0
127,es,1
73,es,0
117,it,unknown
113,es,0
30,en,0
155,es,0
34,es,0
114,es,0
74,es,0
159,en,1
31,en,0
78,es,0
156,es,0
118,es,0
75,es,0
35,es,0
115,es,0
160,en,0
32,en,0
79,es,0
157,en,1
119,es,0
76,es,0
36,es,0
116,es,0
33,unknown,unknown
161,es,0
80,es,0
158,en,0
37,es,0
77,es,0
120,es,0
4,es,0
162,en,0
38,es,0
121,es,0
81,es,0
163,en,1
39,es,0
82,es,0
164,en,0
122,es,0
83,es,0
40,es,0
165,en,0
123,es,1
84,es,0
41,es,0
166,en,0
124,es,0
85,es,0
167,es,0
42,es,0
125,es,0
2,es,0
43,es,0
126,es,0
44,es,0
3,es,0
1,es,0
