id,idioma,label,comentarios
18,es,0,La batería dura poco y tiene mala recepción de la señal.
22,es,1,"Re acondicionado-Excelente, pero tiene varios detalles en las esquinas, pantalla rayada y el auto brillo no funciona. Estoy consiente que es re acondicionado, pero no está excelente."
6,es,1,"Llego perfecto , en tiempo."
26,es,1,"Llego muy bien con un cable genérico pero todo bien, en general el equipo esta en buen estado sin rayones únicamente un raspón en la parte superior izquierda pero no se ve mucho y con mica, estaba viendo que algunos les entregan cargador, en mi caso solo fue el cable."
30,es,1,"El equipo lo compré en calidad “bueno” y me llegó un equipo que calificaría como 9.5 de 10, la pantalla y la parte trasera del equipo están excelentes, solo un pequeño muy leve raspón en la esquina superior derecha que muestro en las fotos, sin duda es una excelente compra, lo recomiendo ampliamente."
23,es,1,"Muy buen producto, a pesar de ser re acondicionado no vienen con ningún golpe, rayón o tan desgastada la pila (92 de vida), sin duda lo recomiendo por el precio, 10/10"
11,es,1,"Excelente, llego la caja un poquito manchada, todo en orden, el color negro es muy bonito, útil y muy potente, me llegó un día antes de la fecha de entrega."
7,es,1,"Llegó en tiempo y forma, sin daños. Llevo 2 meses con el teléfono y todo va en orden"
27,es,1,"La batería me llegó al 90% y solo se ve un pequeño detalle en la pantalla, casi ni se nota, por el resto está genial"
31,es,1,"Me llegó en buen estado y con 100% de batería
Unos pequeños golpes en la pantalla sin afectar su funcionamiento"
64,es,1,Excelente le queda perfecta
3,es,0,"Llego perfecto, caja nueva sellada quizá un poquito malteada la caja pero muy poco. Llego rápido al día siguiente y lo mejor que lo conseguí con bonificaciones Banorte tdc y me quedo 18,000 y algo"
216,es,1,Excelente relación precio y calidad
19,es,0,"Físicamente impecable, como nuevo, ya le cargue mi cuenta y funciona perfectamente, la batería dura más de 48 horas, pantalla funcionando correctamente así como los botones, no diría que es un teléfono renovado. La relación calidad-precio fantástica, aún falta colocar la tarjeta sim. Tengo aún dos meses para seguir probando el iPhone pero hasta hoy estoy satisfecho."
370,es,1,Excelentes condiciones.
8,es,0,Lo que uno espera de un iPhone.
165,es,0,"Protege muy bien el iPhone, solo espero que con el tiempo no se ponga amarillo, funciona muy bien MagSafe"
24,es,0,"En base a lo explicado por parte de Amazon renewed. Básicamente el el teléfono viene super bien. Funciona perfectamente, solo con unos pequeños rasguños en los costados y un poco sobre la pantalla aun costado del botón de bloqueo.
Lo único que no me gustó es que llegó con el 89% de batería a pesar de las especificaciones que debería ser mínimo de 90% según la categoría que le dieron.
Muy recomendable 👌."
12,es,0,Recibí justo lo que esperaba y en buena calidad. La caja un poco rayada pero es lo mismo del desgaste de transporte. De ahi en fuera todo super bien con mi nuevo iPhone!
20,es,0,"Estética casi perfecta un 9/10
Muy buenas cámaras y zoom
Pero no tiene ranura para SIM
Y la ESIM que le intentaba registrar no me lo permitió, tuve que solicitar devolución."
267,es,0,"Realmente, al principio todo estaba bien, pero después de 1 mes y medio se apagó y ya no quiso prender. La primera vez que pasó, no quería agarrar el cargador, tuve que comprar uno nuevo y tampoco agarró ese. Lo puse en el cargador magnético y tampoco quiso. Después de 2 horas prendió (esto pasó cuando tenía el 50% de batería) como si nada hubiera pasado. Pero luego se volvió a apagar mientras lo usaba, tenía el 90% de batería y ya no prendió más. Lo dejé 3 días sin usar para ver si volvía a prender, pero hasta ahora no ha encendido. Realmente estoy decepcionada por el poco tiempo de uso que se le dio y por haberlo comprado reacondicionado. La verdad estoy muy triste. He intentado contactar al vendedor, pero no me ha contestado."
